id,date,temperatur,schneehoehe,schneetage
5467,1980-01-01,-3.350828729,81.16574586,165
5467,1981-01-01,-3.80718232,127.4751381,176
5467,1982-01-01,-1.801657459,42.33149171,168
5467,1983-01-01,-3.535164835,75.54945055,160
5467,1984-01-01,-2.832596685,47.5359116,161
5467,1985-01-01,-3.365745856,52.71823204,177
5467,1986-01-01,-3.186740331,78.08839779,179
5467,1987-01-01,-2.18021978,85.46703297,172
5467,1988-01-01,-0.944198895,81.66850829,178
5467,1989-01-01,-0.15801105,22.56906077,177
5467,1990-01-01,-2.541436464,37.98342541,181
5467,1991-01-01,-2.092307692,68.12087912,182
5467,1992-01-01,-1.106629834,48.39779006,177
5467,1993-01-01,-2.177348066,51.56353591,177
5467,1994-01-01,-2.064088398,70.60773481,166
5467,1995-01-01,-2.876373626,47.90659341,181
5467,1996-01-01,-1.383977901,44.15469613,170
5467,1997-01-01,-1.349171271,49.5801105,174
5467,1998-01-01,-3.301104972,90.09944751,181
5467,1999-01-01,-2.697252747,108.4010989,176
5467,2000-01-01,-1.489502762,46.2320442,169
5467,2001-01-01,-2.299447514,48.98342541,179
5467,2002-01-01,-2.081767956,48.7679558,172
5467,2003-01-01,-2.085714286,51.8956044,168
5467,2004-01-01,-3.169060773,66.43646409,172
5467,2005-01-01,-3.854143646,117.1491713,166
5467,2006-01-01,0.55801105,18.63535912,141
5467,2007-01-01,-2.231318681,66.42307692,182
5467,2008-01-01,-2.515469613,110.480663,168
5467,2009-01-01,-3.027624309,54.64088398,159
5467,2010-01-01,-1.574033149,29.85082873,141
5467,2011-01-01,.,.,.
5467,2012-01-01,.,.,.
5467,2013-01-01,.,.,.
5467,2014-01-01,.,.,.
